produto_id,categoria,preco,quantidade,data_venda
PROD_00000,Livros,28.909865349685585,15,2023-01-01 00:00:00
PROD_00001,Esportes,440.65176149729757,7,2023-01-01 01:00:00
PROD_00002,Casa,164.3172814548769,4,2023-01-01 02:00:00
PROD_00003,Esportes,73.19966488431098,12,2023-01-01 03:00:00
PROD_00004,Esportes,239.5460061726724,1,2023-01-01 04:00:00
PROD_00005,Roupas,303.1699770910492,17,2023-01-01 05:00:00
PROD_00006,Casa,25.17559567702996,4,2023-01-01 06:00:00
PROD_00007,Casa,144.698872545973,4,2023-01-01 07:00:00
PROD_00008,Casa,26.071938395679048,9,2023-01-01 08:00:00
PROD_00009,Esportes,215.96434070579448,10,2023-01-01 09:00:00
PROD_00010,Livros,448.5990142424597,19,2023-01-01 10:00:00
PROD_00011,Casa,491.4996816318489,19,2023-01-01 11:00:00
PROD_00012,Esportes,322.1533012167775,15,2023-01-01 12:00:00
PROD_00013,Roupas,89.20246995444998,17,2023-01-01 13:00:00
PROD_00014,Livros,453.8662010996598,7,2023-01-01 14:00:00
PROD_00015,Roupas,262.9614333680296,3,2023-01-01 15:00:00
PROD_00016,Livros,85.33716293042987,5,2023-01-01 16:00:00
PROD_00017,Esportes,461.6460680313141,16,2023-01-01 17:00:00
PROD_00018,Eletrônicos,381.1598348543205,7,2023-01-01 18:00:00
PROD_00019,Livros,368.5355836343443,16,2023-01-01 19:00:00
PROD_00020,Roupas,357.4985448592583,9,2023-01-01 20:00:00
PROD_00021,Esportes,108.16651233725673,1,2023-01-01 21:00:00
PROD_00022,Livros,113.39327893668776,3,2023-01-01 22:00:00
PROD_00023,Eletrônicos,347.26356922935497,8,2023-01-01 23:00:00
PROD_00024,Eletrônicos,117.66414755409447,18,2023-01-02 00:00:00
PROD_00025,Casa,224.94913143349393,18,2023-01-02 01:00:00
PROD_00026,Casa,393.18089454103125,19,2023-01-02 02:00:00
PROD_00027,Roupas,394.13673386794204,7,2023-01-02 03:00:00
PROD_00028,Livros,232.09826853767123,6,2023-01-02 04:00:00
PROD_00029,Livros,398.1730697548701,11,2023-01-02 05:00:00
PROD_00030,Casa,420.9246801370478,5,2023-01-02 06:00:00
PROD_00031,Livros,330.84011812928753,12,2023-01-02 07:00:00
PROD_00032,Livros,121.92866763112588,1,2023-01-02 08:00:00
PROD_00033,Eletrônicos,144.2657723889183,19,2023-01-02 09:00:00
PROD_00034,Casa,164.27216615028033,11,2023-01-02 10:00:00
PROD_00035,Esportes,67.23401278963648,15,2023-01-02 11:00:00
PROD_00036,Casa,143.84821398127312,16,2023-01-02 12:00:00
PROD_00037,Esportes,112.66441991314073,3,2023-01-02 13:00:00
PROD_00038,Eletrônicos,233.11108740621506,11,2023-01-02 14:00:00
PROD_00039,Roupas,455.1343984574098,11,2023-01-02 15:00:00
PROD_00040,Livros,61.19535520943946,10,2023-01-02 16:00:00
PROD_00041,Eletrônicos,362.9312827342238,2,2023-01-02 17:00:00
PROD_00042,Livros,346.7686721624326,5,2023-01-02 18:00:00
PROD_00043,Roupas,56.919557345045256,8,2023-01-02 19:00:00
