# RESUMO DA CATEGORIA
categoria,preco_medio,preco_desvio_padrao,total_unidades_vendidas,receita_total
Eletrônicos,245.7892545887356,140.2001953037975,2164,525262.2701900518

# DADOS DETALHADOS
produto_id,categoria,preco,quantidade,data_venda,receita
PROD_0007,Eletrônicos,152.70227869704053,10,2024-01-03 13:22:52.972972972,1527.0227869704054
PROD_0023,Eletrônicos,155.17401779500037,13,2024-01-09 09:40:54.054054054,2017.2622313350048
PROD_0024,Eletrônicos,17.661839303185026,9,2024-01-09 18:27:01.621621621,158.95655372866523
PROD_0025,Eletrônicos,107.37068395174448,11,2024-01-10 03:13:09.189189189,1181.0775234691894
PROD_0034,Eletrônicos,363.6474653707879,14,2024-01-13 10:08:17.297297297,5091.064515191031
PROD_0038,Eletrônicos,164.03443072740006,4,2024-01-14 21:12:47.567567567,656.1377229096003
PROD_0046,Eletrônicos,143.3448021984713,13,2024-01-17 19:21:48.108108108,1863.4824285801271
PROD_0047,Eletrônicos,159.34281649743423,6,2024-01-18 04:07:55.675675675,956.0568989846054
PROD_0049,Eletrônicos,68.73402999350458,12,2024-01-18 21:40:10.810810810,824.8083599220549
PROD_0054,Eletrônicos,498.8928376739815,17,2024-01-20 17:30:48.648648648,8481.178240457686
PROD_0056,Eletrônicos,320.83215890366824,2,2024-01-21 11:03:03.783783783,641.6643178073365
PROD_0061,Eletrônicos,83.85159654306044,6,2024-01-23 06:53:41.621621621,503.1095792583626
PROD_0065,Eletrônicos,204.81029033288596,7,2024-01-24 17:58:11.891891891,1433.6720323302018
PROD_0072,Eletrônicos,181.11269156020384,16,2024-01-27 07:21:04.864864865,2897.8030649632615
PROD_0076,Eletrônicos,335.11586686294737,18,2024-01-28 18:25:35.135135135,6032.085603533053
PROD_0088,Eletrônicos,497.3297502906971,14,2024-02-02 03:39:05.945945946,6962.61650406976
PROD_0097,Eletrônicos,76.94445240659412,16,2024-02-05 10:34:14.054054054,1231.111238505506
PROD_0104,Eletrônicos,85.97039219659466,17,2024-02-07 23:57:07.027027027,1461.4966673421093
PROD_0117,Eletrônicos,333.4967145916883,1,2024-02-12 17:56:45.405405405,333.4967145916883
PROD_0121,Eletrônicos,177.52103669103678,5,2024-02-14 05:01:15.675675675,887.6051834551839
PROD_0122,Eletrônicos,162.59252160173415,5,2024-02-14 13:47:23.243243243,812.9626080086707
PROD_0131,Eletrônicos,407.4900466006415,11,2024-02-17 20:42:31.351351351,4482.390512607057
PROD_0133,Eletrônicos,329.2275382103161,11,2024-02-18 14:14:46.486486486,3621.502920313477
PROD_0141,Eletrônicos,403.7056558885758,4,2024-02-21 12:23:47.027027027,1614.8226235543032
PROD_0143,Eletrônicos,368.5074000968237,4,2024-02-22 05:56:02.162162162,1474.0296003872947
PROD_0146,Eletrônicos,126.73571467794991,17,2024-02-23 08:14:24.864864865,2154.5071495251486
PROD_0147,Eletrônicos,257.57366249945,16,2024-02-23 17:00:32.432432432,4121.1785999912
PROD_0148,Eletrônicos,166.82430450499976,19,2024-02-24 01:46:40.000000000,3169.6617855949953
PROD_0149,Eletrônicos,36.20779540621077,9,2024-02-24 10:32:47.567567567,325.87015865589694
PROD_0158,Eletrônicos,383.1402095415614,12,2024-02-27 17:27:55.675675675,4597.682514498736
PROD_0159,Eletrônicos,59.55011130016722,7,2024-02-28 02:14:03.243243243,416.85077910117053
PROD_0164,Eletrônicos,441.3763846328242,17,2024-02-29 22:04:41.081081081,7503.3985387580115
PROD_0165,Eletrônicos,300.02548202242934,4,2024-03-01 06:50:48.648648648,1200.1019280897174
