# RESUMO DA CATEGORIA
categoria,preco_medio,preco_desvio_padrao,total_unidades_vendidas,receita_total
Livros,249.37974525666567,143.39898665874915,2044,504358.55457870464

# DADOS DETALHADOS
produto_id,categoria,preco,quantidade,data_venda,receita
PROD_0000,Livros,475.8500101408589,11,2024-01-01 00:00:00.000000000,5234.350111549448
PROD_0004,Livros,469.8908274177176,2,2024-01-02 11:04:30.270270270,939.7816548354352
PROD_0005,Livros,99.86820982818256,12,2024-01-02 19:50:37.837837837,1198.4185179381907
PROD_0008,Livros,487.140204232315,15,2024-01-03 22:09:00.540540540,7307.103063484725
PROD_0013,Livros,128.10247835274572,7,2024-01-05 17:59:38.378378378,896.71734846922
PROD_0014,Livros,252.6366859545224,15,2024-01-06 02:45:45.945945945,3789.550289317836
PROD_0019,Livros,302.9709896174317,16,2024-01-07 22:36:23.783783783,4847.535833878907
PROD_0020,Livros,32.16137156616365,8,2024-01-08 07:22:31.351351351,257.2909725293092
PROD_0029,Livros,432.9206786790408,8,2024-01-11 14:17:39.459459459,3463.3654294323264
PROD_0030,Livros,172.1400321777981,16,2024-01-11 23:03:47.027027027,2754.2405148447697
PROD_0043,Livros,403.7993176805661,12,2024-01-16 17:03:25.405405405,4845.591812166793
PROD_0044,Livros,447.3539092600891,11,2024-01-17 01:49:32.972972973,4920.89300186098
PROD_0051,Livros,188.1785051658541,17,2024-01-19 15:12:25.945945946,3199.0345878195194
PROD_0058,Livros,49.61812990303047,17,2024-01-22 04:35:18.918918918,843.508208351518
PROD_0064,Livros,326.13466730063044,9,2024-01-24 09:12:04.324324324,2935.212005705674
PROD_0067,Livros,370.2558984279784,18,2024-01-25 11:30:27.027027027,6664.606171703612
PROD_0074,Livros,51.228582847573925,8,2024-01-28 00:53:20.000000000,409.8286627805914
PROD_0075,Livros,450.2915523782688,3,2024-01-28 09:39:27.567567567,1350.8746571348065
PROD_0079,Livros,126.25205287343204,16,2024-01-29 20:43:57.837837837,2020.0328459749126
PROD_0080,Livros,189.56970444560136,8,2024-01-30 05:30:05.405405405,1516.5576355648109
PROD_0082,Livros,259.3188976509924,14,2024-01-30 23:02:20.540540540,3630.464567113894
PROD_0085,Livros,337.77278923491883,1,2024-02-01 01:20:43.243243243,337.77278923491883
PROD_0092,Livros,154.279957114097,1,2024-02-03 14:43:36.216216216,154.279957114097
PROD_0100,Livros,260.5577754418595,4,2024-02-06 12:52:36.756756756,1042.231101767438
PROD_0102,Livros,444.4424029858234,15,2024-02-07 06:24:51.891891892,6666.63604478735
PROD_0103,Livros,293.64379879870376,19,2024-02-07 15:10:59.459459459,5579.232177175371
PROD_0105,Livros,29.02901987041737,15,2024-02-08 08:43:14.594594594,435.43529805626054
PROD_0113,Livros,374.5808950695665,5,2024-02-11 06:52:15.135135135,1872.9044753478324
PROD_0115,Livros,210.38694276299225,1,2024-02-12 00:24:30.270270270,210.38694276299225
PROD_0123,Livros,18.408939897557616,16,2024-02-14 22:33:30.810810810,294.54303836092186
PROD_0134,Livros,144.24095238735555,12,2024-02-18 23:00:54.054054054,1730.8914286482666
PROD_0145,Livros,220.207073413759,13,2024-02-22 23:28:17.297297297,2862.6919543788667
PROD_0151,Livros,475.5303638548944,19,2024-02-25 04:05:02.702702703,9035.076913242994
PROD_0166,Livros,50.91535118234769,12,2024-03-01 15:36:56.216216216,610.9842141881722
PROD_0169,Livros,290.0217823504552,8,2024-03-02 17:55:18.918918919,2320.174258803642
PROD_0176,Livros,46.16031672034544,3,2024-03-05 07:18:11.891891892,138.48095016103633
PROD_0181,Livros,62.31047230858335,8,2024-03-07 03:08:49.729729730,498.4837784686668
PROD_0186,Livros,142.76924483241365,13,2024-03-08 22:59:27.567567567,1856.0001828213774
PROD_0195,Livros,408.321494473738,5,2024-03-12 05:54:35.675675675,2041.6074723686902
PROD_0202,Livros,141.6495161924006,7,2024-03-14 19:17:28.648648648,991.5466133468042
PROD_0205,Livros,284.85960605233925,17,2024-03-15 21:35:51.351351351,4842.6133028897675
PROD_0208,Livros,490.42673529526513,18,2024-03-16 23:54:14.054054054,8827.681235314772
PROD_0211,Livros,278.24869038056465,1,2024-03-18 02:12:36.756756757,278.24869038056465
PROD_0212,Livros,156.00013125555574,10,2024-03-18 10:58:44.324324324,1560.0013125555574
PROD_0220,Livros,99.12124135558096,3,2024-03-21 09:07:44.864864865,297.36372406674286
PROD_0239,Livros,19.83488691108592,17,2024-03-28 07:44:08.648648648,337.19307748846063
PROD_0249,Livros,426.9005837397117,9,2024-03-31 23:25:24.324324324,3842.1052536574052
PROD_0253,Livros,12.597003134826654,17,2024-04-02 10:29:54.594594594,214.1490532920531
PROD_0258,Livros,258.729085555383,17,2024-04-04 06:20:32.432432432,4398.394454441511
PROD_0259,Livros,66.27004412220973,14,2024-04-04 15:06:40.000000000,927.7806177109362
PROD_0272,Livros,90.1914120041952,5,2024-04-09 09:06:18.378378378,450.957060020976
PROD_0288,Livros,233.9301074480224,15,2024-04-15 05:24:19.459459460,3508.951611720336
PROD_0290,Livros,363.9037585126025,2,2024-04-15 22:56:34.594594594,727.807517025205
PROD_0292,Livros,275.9349772403221,11,2024-04-16 16:28:49.729729730,3035.284749643543
PROD_0298,Livros,300.5518235768226,12,2024-04-18 21:05:35.135135134,3606.621882921871
PROD_0299,Livros,460.1877559077658,5,2024-04-19 05:51:42.702702702,2300.938779538829
PROD_0305,Livros,71.08471378960076,1,2024-04-21 10:28:28.108108108,71.08471378960076
PROD_0308,Livros,396.01704547010127,9,2024-04-22 12:46:50.810810810,3564.153409230911
PROD_0317,Livros,234.9046041283364,8,2024-04-25 19:41:58.918918918,1879.236833026691
PROD_0323,Livros,245.7330947099171,6,2024-04-28 00:18:44.324324324,1474.3985682595026
PROD_0339,Livros,174.5742700034192,2,2024-05-03 20:36:45.405405406,349.1485400068384
PROD_0341,Livros,315.83296484607564,6,2024-05-04 14:09:00.540540540,1894.997789076454
PROD_0348,Livros,74.81534345141189,13,2024-05-07 03:31:53.513513514,972.5994648683546
PROD_0351,Livros,254.0644692203928,2,2024-05-08 05:50:16.216216216,508.1289384407856
PROD_0365,Livros,89.38680016687645,11,2024-05-13 08:36:02.162162162,983.254801835641
PROD_0372,Livros,484.1727002214724,6,2024-05-15 21:58:55.135135134,2905.036201328834
PROD_0374,Livros,405.640823390213,17,2024-05-16 15:31:10.270270270,6895.8939976336205
PROD_0376,Livros,275.5314642153955,19,2024-05-17 09:03:25.405405404,5235.097820092515
PROD_0384,Livros,423.8292052821845,18,2024-05-20 07:12:25.945945946,7628.925695079321
PROD_0398,Livros,371.4153277785568,17,2024-05-25 09:58:11.891891892,6314.060572235466
PROD_0400,Livros,360.6211244647785,5,2024-05-26 03:30:27.027027026,1803.1056223238925
PROD_0403,Livros,478.6436918041183,5,2024-05-27 05:48:49.729729730,2393.2184590205916
PROD_0423,Livros,192.61737333603384,8,2024-06-03 13:11:21.081081080,1540.9389866882707
PROD_0426,Livros,47.30412115024709,17,2024-06-04 15:29:43.783783784,804.1700595542005
PROD_0431,Livros,426.7850472561785,16,2024-06-06 11:20:21.621621622,6828.560756098856
PROD_0438,Livros,282.5290501694809,13,2024-06-09 00:43:14.594594594,3672.8776522032517
PROD_0442,Livros,14.445478279835232,13,2024-06-10 11:47:44.864864864,187.791217637858
PROD_0445,Livros,319.98472763563456,5,2024-06-11 14:06:07.567567568,1599.9236381781727
PROD_0448,Livros,43.00179471969813,10,2024-06-12 16:24:30.270270270,430.0179471969813
PROD_0452,Livros,381.5489660052211,7,2024-06-14 03:29:00.540540540,2670.8427620365474
PROD_0458,Livros,330.71049499775626,3,2024-06-16 08:05:45.945945946,992.1314849932687
PROD_0465,Livros,241.872854278863,8,2024-06-18 21:28:38.918918918,1934.982834230904
PROD_0466,Livros,100.90750269452936,17,2024-06-19 06:14:46.486486486,1715.427545806999
PROD_0471,Livros,400.3032725783264,14,2024-06-21 02:05:24.324324324,5604.24581609657
PROD_0477,Livros,392.1269845577414,8,2024-06-23 06:42:09.729729730,3137.0158764619314
PROD_0480,Livros,354.2078355666109,10,2024-06-24 09:00:32.432432432,3542.078355666109
PROD_0492,Livros,280.9707117700596,6,2024-06-28 18:14:03.243243242,1685.8242706203578
PROD_0496,Livros,88.17689325546229,13,2024-06-30 05:18:33.513513512,1146.2996123210098
PROD_0498,Livros,374.69674214152826,19,2024-06-30 22:50:48.648648648,7119.238100689037
PROD_0499,Livros,282.1281399594393,18,2024-07-01 07:36:56.216216216,5078.306519269907
PROD_0505,Livros,370.3216463462188,18,2024-07-03 12:13:41.621621622,6665.789634231938
PROD_0507,Livros,24.40327842068857,2,2024-07-04 05:45:56.756756756,48.80655684137714
PROD_0508,Livros,437.9773866600137,2,2024-07-04 14:32:04.324324324,875.9547733200274
