produto_id,categoria,preco,quantidade,data_venda
1,Brinquedos,1830.34,11,2024-11-01
2,Livros,1700.83,18,2024-01-13
3,Alimentos,901.65,10,2024-11-11
4,Livros,195.34,3,2024-11-08
5,Livros,744.78,7,2024-02-05
6,Vestuário,1339.34,16,2024-06-21
7,Alimentos,1333.52,16,2024-01-20
8,Alimentos,1184.64,17,2024-11-16
9,Alimentos,553.07,2,2024-09-20
10,Livros,1124.68,1,2024-05-21
11,Brinquedos,768.94,16,2024-05-22
12,Alimentos,1943.57,12,2024-04-01
13,Livros,1698.58,5,2024-12-19
14,Vestuário,1444.85,5,2024-11-17
15,Brinquedos,475.79,9,2024-10-14
16,Vestuário,515.86,9,2024-08-02
17,Brinquedos,85.67,3,2024-12-07
18,Livros,1422.77,19,2024-02-20
19,Eletronicos,226.23,16,2024-06-01
20,Brinquedos,881.48,16,2024-07-04
21,Vestuário,407.43,3,2024-03-03
22,Livros,1792.05,1,2024-07-08
23,Brinquedos,953.36,11,2024-05-04
24,Eletronicos,1128.73,17,2024-05-29
25,Eletronicos,1392.55,8,2024-11-09
26,Alimentos,282.97,4,2024-02-27
27,Alimentos,1210.81,6,2024-12-07
28,Vestuário,1081.98,8,2024-10-31
29,Brinquedos,410.11,3,2024-06-28
30,Brinquedos,1885.99,16,2024-06-18
31,Alimentos,1199.74,3,2024-11-21
32,Brinquedos,1391.1,18,2024-09-27
33,Brinquedos,1761.53,14,2024-02-23
34,Eletronicos,1250.59,18,2024-04-10
35,Alimentos,594.79,2,2024-09-20
36,Livros,215.46,3,2024-02-22
37,Alimentos,915.79,16,2024-02-29
38,Livros,440.79,9,2024-04-17
39,Eletronicos,835.94,4,2024-01-05
40,Vestuário,1767.14,1,2024-04-12
41,Brinquedos,652.07,4,2024-07-14
42,Eletronicos,248.57,1,2024-09-18
43,Brinquedos,715.81,14,2024-12-30
44,Vestuário,1814.12,16,2024-12-15
45,Vestuário,547.9,8,2024-02-16
46,Eletronicos,1297.14,7,2024-12-20
47,Vestuário,6.04,3,2024-11-06
48,Livros,708.37,17,2024-11-03
49,Vestuário,613.04,1,2024-05-23
50,Brinquedos,333.49,16,2024-09-25
