produto_id,categoria,preco,quantidade,data_venda
PROD_0000,Livros,475.8500101408589,11,2024-01-01 00:00:00.000000000
PROD_0001,Brinquedos,302.4565773937786,19,2024-01-01 08:46:07.567567567
PROD_0002,Alimentos,235.03195706327492,4,2024-01-01 17:32:15.135135135
PROD_0003,Alimentos,20.086402204943198,2,2024-01-02 02:18:22.702702702
PROD_0004,Livros,469.89082741771756,2,2024-01-02 11:04:30.270270270
PROD_0005,Livros,99.86820982818257,12,2024-01-02 19:50:37.837837837
PROD_0006,Roupas,267.13065149979656,12,2024-01-03 04:36:45.405405405
PROD_0007,Eletrônicos,152.70227869704053,10,2024-01-03 13:22:52.972972972
PROD_0008,Livros,487.140204232315,15,2024-01-03 22:09:00.540540540
PROD_0009,Alimentos,197.40637572090975,3,2024-01-04 06:55:08.108108108
PROD_0010,Brinquedos,307.6969774317048,9,2024-01-04 15:41:15.675675675
PROD_0011,Roupas,474.9539132541333,14,2024-01-05 00:27:23.243243243
PROD_0012,Roupas,198.85408624455889,2,2024-01-05 09:13:30.810810810
PROD_0013,Livros,128.10247835274572,7,2024-01-05 17:59:38.378378378
PROD_0014,Livros,252.6366859545224,15,2024-01-06 02:45:45.945945945
PROD_0015,Alimentos,455.5669970186032,4,2024-01-06 11:31:53.513513513
PROD_0016,Roupas,334.63591933345117,2,2024-01-06 20:18:01.081081081
PROD_0017,Roupas,288.17316063179584,18,2024-01-07 05:04:08.648648648
PROD_0018,Roupas,230.37952535118518,10,2024-01-07 13:50:16.216216216
PROD_0019,Livros,302.9709896174317,16,2024-01-07 22:36:23.783783783
PROD_0020,Livros,32.16137156616365,8,2024-01-08 07:22:31.351351351
PROD_0021,Brinquedos,200.45187194784617,18,2024-01-08 16:08:38.918918918
PROD_0022,Brinquedos,297.50807117528564,13,2024-01-09 00:54:46.486486486
PROD_0023,Eletrônicos,155.17401779500037,13,2024-01-09 09:40:54.054054054
PROD_0024,Eletrônicos,17.661839303185026,9,2024-01-09 18:27:01.621621621
PROD_0025,Eletrônicos,107.37068395174448,11,2024-01-10 03:13:09.189189189
PROD_0026,Alimentos,356.3600984853324,3,2024-01-10 11:59:16.756756756
PROD_0027,Alimentos,387.92246987611344,5,2024-01-10 20:45:24.324324324
PROD_0028,Roupas,185.64820698669357,9,2024-01-11 05:31:31.891891891
PROD_0029,Livros,432.9206786790408,8,2024-01-11 14:17:39.459459459
PROD_0030,Livros,172.1400321777981,16,2024-01-11 23:03:47.027027027
PROD_0031,Brinquedos,367.5070273856514,8,2024-01-12 07:49:54.594594594
PROD_0032,Alimentos,285.0092786653736,3,2024-01-12 16:36:02.162162162
PROD_0033,Brinquedos,486.13892674066085,3,2024-01-13 01:22:09.729729729
PROD_0034,Eletrônicos,363.64746537078787,14,2024-01-13 10:08:17.297297297
PROD_0035,Alimentos,266.1390863971771,15,2024-01-13 18:54:24.864864864
PROD_0036,Roupas,22.455372104606642,13,2024-01-14 03:40:32.432432432
PROD_0037,Alimentos,25.400300986499783,7,2024-01-14 12:26:40.000000000
PROD_0038,Eletrônicos,164.03443072740006,4,2024-01-14 21:12:47.567567567
PROD_0039,Brinquedos,132.15319228294874,13,2024-01-15 05:58:55.135135135
PROD_0040,Alimentos,109.500000120037,13,2024-01-15 14:45:02.702702702
PROD_0041,Alimentos,350.44461718945524,2,2024-01-15 23:31:10.270270270
PROD_0042,Roupas,405.9789859865643,6,2024-01-16 08:17:17.837837837
PROD_0043,Livros,403.7993176805661,12,2024-01-16 17:03:25.405405405
PROD_0044,Livros,447.3539092600891,11,2024-01-17 01:49:32.972972973
PROD_0045,Roupas,69.82309780332994,7,2024-01-17 10:35:40.540540540
PROD_0046,Eletrônicos,143.3448021984713,13,2024-01-17 19:21:48.108108108
PROD_0047,Eletrônicos,159.34281649743423,6,2024-01-18 04:07:55.675675675
PROD_0048,Alimentos,214.5313915429017,5,2024-01-18 12:54:03.243243243
PROD_0049,Eletrônicos,68.73402999350458,12,2024-01-18 21:40:10.810810810
PROD_0050,Alimentos,168.36943669017006,9,2024-01-19 06:26:18.378378378
PROD_0051,Livros,188.17850516585406,17,2024-01-19 15:12:25.945945946
PROD_0052,Roupas,481.5991745216345,7,2024-01-19 23:58:33.513513513
PROD_0053,Roupas,359.0125890629766,5,2024-01-20 08:44:41.081081081
PROD_0054,Eletrônicos,498.8928376739815,17,2024-01-20 17:30:48.648648648
PROD_0055,Roupas,256.3127213821421,5,2024-01-21 02:16:56.216216216
PROD_0056,Eletrônicos,320.83215890366824,2,2024-01-21 11:03:03.783783783
PROD_0057,Brinquedos,249.83185253600587,6,2024-01-21 19:49:11.351351351
PROD_0058,Livros,49.61812990303047,17,2024-01-22 04:35:18.918918918
PROD_0059,Brinquedos,319.82985699085395,6,2024-01-22 13:21:26.486486486
PROD_0060,Alimentos,410.05161787749813,16,2024-01-22 22:07:34.054054054
PROD_0061,Eletrônicos,83.85159654306044,6,2024-01-23 06:53:41.621621621
PROD_0062,Brinquedos,430.59581435872275,4,2024-01-23 15:39:49.189189189
PROD_0063,Alimentos,358.46327089462875,19,2024-01-24 00:25:56.756756756
PROD_0064,Livros,326.13466730063044,9,2024-01-24 09:12:04.324324324
PROD_0065,Eletrônicos,204.81029033288593,7,2024-01-24 17:58:11.891891891
PROD_0066,Roupas,420.4779518945907,11,2024-01-25 02:44:19.459459459
PROD_0067,Livros,370.25589842797837,18,2024-01-25 11:30:27.027027027
PROD_0068,Roupas,136.39139758042626,16,2024-01-25 20:16:34.594594594
PROD_0069,Roupas,491.26248823142345,17,2024-01-26 05:02:42.162162162
PROD_0070,Roupas,498.1643128813829,12,2024-01-26 13:48:49.729729729
PROD_0071,Brinquedos,451.2048480100319,9,2024-01-26 22:34:57.297297297
PROD_0072,Eletrônicos,181.11269156020384,16,2024-01-27 07:21:04.864864865
PROD_0073,Alimentos,429.5989030202653,1,2024-01-27 16:07:12.432432432
PROD_0074,Livros,51.228582847573925,8,2024-01-28 00:53:20.000000000
PROD_0075,Livros,450.2915523782688,3,2024-01-28 09:39:27.567567567
PROD_0076,Eletrônicos,335.11586686294737,18,2024-01-28 18:25:35.135135135
PROD_0077,Roupas,247.95073925725103,3,2024-01-29 03:11:42.702702702
PROD_0078,Brinquedos,119.89196163567429,1,2024-01-29 11:57:50.270270270
PROD_0079,Livros,126.25205287343204,16,2024-01-29 20:43:57.837837837
PROD_0080,Livros,189.56970444560136,8,2024-01-30 05:30:05.405405405
PROD_0081,Alimentos,332.23031722716826,1,2024-01-30 14:16:12.972972973
PROD_0082,Livros,259.3188976509924,14,2024-01-30 23:02:20.540540540
PROD_0083,Brinquedos,248.503654950133,8,2024-01-31 07:48:28.108108108
PROD_0084,Alimentos,222.85323910011005,1,2024-01-31 16:34:35.675675675
PROD_0085,Livros,337.77278923491883,1,2024-02-01 01:20:43.243243243
PROD_0086,Brinquedos,122.79078143836209,16,2024-02-01 10:06:50.810810810
PROD_0087,Alimentos,290.2820576124997,17,2024-02-01 18:52:58.378378378
PROD_0088,Eletrônicos,497.3297502906971,14,2024-02-02 03:39:05.945945946
PROD_0089,Brinquedos,442.91207091046687,9,2024-02-02 12:25:13.513513513
PROD_0090,Brinquedos,464.87609566798545,17,2024-02-02 21:11:21.081081081
PROD_0091,Brinquedos,290.4233098937108,1,2024-02-03 05:57:28.648648648
PROD_0092,Livros,154.279957114097,1,2024-02-03 14:43:36.216216216
PROD_0093,Alimentos,93.05144587618531,10,2024-02-03 23:29:43.783783783
PROD_0094,Roupas,465.7082490573076,14,2024-02-04 08:15:51.351351351
PROD_0095,Roupas,311.35354108259315,2,2024-02-04 17:01:58.918918919
PROD_0096,Alimentos,154.69238832527998,17,2024-02-05 01:48:06.486486486
PROD_0097,Eletrônicos,76.94445240659412,16,2024-02-05 10:34:14.054054054
PROD_0098,Brinquedos,155.28997038742125,3,2024-02-05 19:20:21.621621621
PROD_0099,Roupas,434.8654361042508,13,2024-02-06 04:06:29.189189189
PROD_0100,Livros,260.5577754418595,4,2024-02-06 12:52:36.756756756
PROD_0101,Brinquedos,105.1942372209007,8,2024-02-06 21:38:44.324324324
PROD_0102,Livros,444.4424029858234,15,2024-02-07 06:24:51.891891892
PROD_0103,Livros,293.64379879870376,19,2024-02-07 15:10:59.459459459
PROD_0104,Eletrônicos,85.97039219659466,17,2024-02-07 23:57:07.027027027
PROD_0105,Livros,29.02901987041737,15,2024-02-08 08:43:14.594594594
PROD_0106,Alimentos,72.25965119942354,1,2024-02-08 17:29:22.162162162
PROD_0107,Brinquedos,143.05602875167352,12,2024-02-09 02:15:29.729729729
PROD_0108,Brinquedos,234.059929190727,6,2024-02-09 11:01:37.297297297
PROD_0109,Brinquedos,105.24621665748778,15,2024-02-09 19:47:44.864864864
PROD_0110,Alimentos,322.3406517341212,16,2024-02-10 04:33:52.432432432
PROD_0111,Brinquedos,485.0730648859379,10,2024-02-10 13:20:00.000000000
PROD_0112,Alimentos,399.6412354366648,19,2024-02-10 22:06:07.567567567
PROD_0113,Livros,374.5808950695665,5,2024-02-11 06:52:15.135135135
PROD_0114,Roupas,481.6977231921833,9,2024-02-11 15:38:22.702702702
PROD_0115,Livros,210.38694276299225,1,2024-02-12 00:24:30.270270270
PROD_0116,Roupas,127.49580598712758,16,2024-02-12 09:10:37.837837837
PROD_0117,Eletrônicos,333.4967145916883,1,2024-02-12 17:56:45.405405405
PROD_0118,Brinquedos,371.56948918092655,5,2024-02-13 02:42:52.972972973
PROD_0119,Brinquedos,215.60403058961705,12,2024-02-13 11:29:00.540540540
PROD_0120,Roupas,184.42661253911817,5,2024-02-13 20:15:08.108108108
PROD_0121,Eletrônicos,177.52103669103678,5,2024-02-14 05:01:15.675675675
PROD_0122,Eletrônicos,162.59252160173415,5,2024-02-14 13:47:23.243243243
PROD_0123,Livros,18.408939897557616,16,2024-02-14 22:33:30.810810810
PROD_0124,Brinquedos,242.0011676824772,1,2024-02-15 07:19:38.378378378
PROD_0125,Brinquedos,205.26731985471298,10,2024-02-15 16:05:45.945945946
PROD_0126,Brinquedos,444.4733897760433,10,2024-02-16 00:51:53.513513513
PROD_0127,Roupas,467.38379095894663,1,2024-02-16 09:38:01.081081081
PROD_0128,Brinquedos,345.14224700508913,16,2024-02-16 18:24:08.648648648
PROD_0129,Roupas,22.990542165394686,12,2024-02-17 03:10:16.216216216
PROD_0130,Roupas,290.9498504192473,1,2024-02-17 11:56:23.783783783
PROD_0131,Eletrônicos,407.49004660064145,11,2024-02-17 20:42:31.351351351
PROD_0132,Brinquedos,316.7104383497707,1,2024-02-18 05:28:38.918918919
PROD_0133,Eletrônicos,329.2275382103161,11,2024-02-18 14:14:46.486486486
PROD_0134,Livros,144.24095238735555,12,2024-02-18 23:00:54.054054054
PROD_0135,Roupas,29.091934832014477,18,2024-02-19 07:47:01.621621621
PROD_0136,Alimentos,174.91156529547598,8,2024-02-19 16:33:09.189189189
PROD_0137,Brinquedos,423.98890237503275,2,2024-02-20 01:19:16.756756756
PROD_0138,Alimentos,148.10883963896597,4,2024-02-20 10:05:24.324324324
PROD_0139,Roupas,351.4012110284338,13,2024-02-20 18:51:31.891891891
PROD_0140,Alimentos,439.96128662825595,4,2024-02-21 03:37:39.459459459
PROD_0141,Eletrônicos,403.7056558885758,4,2024-02-21 12:23:47.027027027
PROD_0142,Roupas,217.5007617309781,3,2024-02-21 21:09:54.594594594
PROD_0143,Eletrônicos,368.5074000968237,4,2024-02-22 05:56:02.162162162
PROD_0144,Roupas,132.50806011589128,5,2024-02-22 14:42:09.729729730
PROD_0145,Livros,220.207073413759,13,2024-02-22 23:28:17.297297297
PROD_0146,Eletrônicos,126.73571467794993,17,2024-02-23 08:14:24.864864865
PROD_0147,Eletrônicos,257.57366249945,16,2024-02-23 17:00:32.432432432
PROD_0148,Eletrônicos,166.82430450499976,19,2024-02-24 01:46:40.000000000
PROD_0149,Eletrônicos,36.207795406210764,9,2024-02-24 10:32:47.567567567
PROD_0150,Alimentos,54.730471625205446,7,2024-02-24 19:18:55.135135135
PROD_0151,Livros,475.5303638548944,19,2024-02-25 04:05:02.702702703
PROD_0152,Roupas,319.6002339632016,5,2024-02-25 12:51:10.270270270
PROD_0153,Alimentos,305.1960536915483,4,2024-02-25 21:37:17.837837838
PROD_0154,Brinquedos,397.87373142566577,7,2024-02-26 06:23:25.405405405
PROD_0155,Brinquedos,466.1552617867734,7,2024-02-26 15:09:32.972972973
PROD_0156,Roupas,226.34994567295473,11,2024-02-26 23:55:40.540540540
PROD_0157,Alimentos,67.36283804952687,12,2024-02-27 08:41:48.108108108
PROD_0158,Eletrônicos,383.1402095415614,12,2024-02-27 17:27:55.675675675
PROD_0159,Eletrônicos,59.55011130016722,7,2024-02-28 02:14:03.243243243
PROD_0160,Brinquedos,119.06244460980496,9,2024-02-28 11:00:10.810810811
PROD_0161,Roupas,447.02948530062054,2,2024-02-28 19:46:18.378378378
PROD_0162,Brinquedos,261.52982265927255,6,2024-02-29 04:32:25.945945946
PROD_0163,Alimentos,294.83965444112334,13,2024-02-29 13:18:33.513513513
PROD_0164,Eletrônicos,441.3763846328242,17,2024-02-29 22:04:41.081081081
PROD_0165,Eletrônicos,300.02548202242934,4,2024-03-01 06:50:48.648648648
PROD_0166,Livros,50.91535118234769,12,2024-03-01 15:36:56.216216216
PROD_0167,Alimentos,131.8748356708411,19,2024-03-02 00:23:03.783783784
PROD_0168,Alimentos,134.304265197838,18,2024-03-02 09:09:11.351351351
PROD_0169,Livros,290.0217823504552,8,2024-03-02 17:55:18.918918919
PROD_0170,Brinquedos,413.16727241957966,7,2024-03-03 02:41:26.486486486
PROD_0171,Eletrônicos,343.7093192774854,17,2024-03-03 11:27:34.054054054
PROD_0172,Eletrônicos,435.6135728128355,6,2024-03-03 20:13:41.621621621
PROD_0173,Brinquedos,481.97904432589957,12,2024-03-04 04:59:49.189189189
PROD_0174,Brinquedos,485.24062508674314,15,2024-03-04 13:45:56.756756757
PROD_0175,Brinquedos,31.266383816104653,11,2024-03-04 22:32:04.324324324
PROD_0176,Livros,46.16031672034544,3,2024-03-05 07:18:11.891891892
PROD_0177,Alimentos,484.9582424533585,18,2024-03-05 16:04:19.459459459
PROD_0178,Eletrônicos,116.2364622273807,15,2024-03-06 00:50:27.027027027
PROD_0179,Eletrônicos,317.5034592411911,3,2024-03-06 09:36:34.594594594
PROD_0180,Eletrônicos,458.4746274178621,10,2024-03-06 18:22:42.162162162
PROD_0181,Livros,62.31047230858335,8,2024-03-07 03:08:49.729729730
PROD_0182,Roupas,102.17936826464305,8,2024-03-07 11:54:57.297297297
PROD_0183,Roupas,122.40342539542533,5,2024-03-07 20:41:04.864864865
PROD_0184,Eletrônicos,137.37543279858872,17,2024-03-08 05:27:12.432432432
PROD_0185,Eletrônicos,161.6685319803006,13,2024-03-08 14:13:20.000000000
PROD_0186,Livros,142.76924483241365,13,2024-03-08 22:59:27.567567567
PROD_0187,Alimentos,413.0432490323528,18,2024-03-09 07:45:35.135135135
PROD_0188,Alimentos,365.6025591102964,15,2024-03-09 16:31:42.702702702
PROD_0189,Eletrônicos,214.93908778240325,18,2024-03-10 01:17:50.270270270
