produto_id,categoria,preco,quantidade,data_venda
1000,Livros,236.74,3,2023-04-16
1001,Casa,364.79,6,2023-04-09
1002,Alimentos,157.58,5,2023-02-23
1003,Casa,236.74,3,2023-10-10
1004,Casa,117.5,6,2023-12-27
1005,Vestuário,388.67,4,2023-12-01
1006,Alimentos,39.65,7,2023-01-20
1007,Alimentos,355.64,1,2023-03-15
1008,Alimentos,195.68,3,2023-10-09
1009,Casa,30.38,5,2023-09-13
1010,Livros,428.2,2,2023-05-23
1011,Alimentos,248.98,9,2023-10-08
1012,Casa,303.67,1,2023-08-24
1013,Vestuário,368.7,4,2023-01-18
1014,Livros,330.99,4,2023-05-31
1015,Vestuário,368.12,2,2023-08-17
1016,Livros,383.52,1,2023-09-06
1017,Casa,298.68,1,2023-02-15
1018,Eletrônicos,189.16,5,2023-01-31
1019,Livros,129.14,1,2023-03-06
1020,Vestuário,452.42,4,2023-01-27
1021,Casa,485.26,4,2023-05-23
1022,Livros,185.25,4,2023-11-17
1023,Eletrônicos,65.03,5,2023-11-16
1024,Eletrônicos,119.04,2,2023-12-24
1025,Alimentos,338.63,3,2023-08-13
1026,Alimentos,94.74,7,2023-06-23
1027,Vestuário,392.26,9,2023-09-15
1028,Livros,462.28,5,2023-09-07
1029,Livros,482.19,5,2023-02-05
1030,Alimentos,14.57,9,2023-02-10
1031,Livros,479.5,8,2023-05-03
1032,Livros,372.7,8,2023-01-11
1033,Eletrônicos,51.18,5,2023-03-03
1034,Alimentos,213.47,4,2023-04-28
1035,Casa,353.02,3,2023-07-09
1036,Alimentos,478.78,4,2023-11-17
1037,Casa,90.43,3,2023-05-23
1038,Eletrônicos,72.59,6,2023-01-02
1039,Vestuário,241.45,3,2023-03-07
1040,Livros,484.37,3,2023-07-17
1041,Eletrônicos,485.98,1,2023-02-28
1042,Livros,121.68,9,2023-02-01
1043,Vestuário,166.48,5,2023-09-22
1044,Vestuário,454.94,1,2023-05-26
1045,Eletrônicos,370.07,4,2023-07-16
1046,Vestuário,486.44,3,2023-09-11
1047,Casa,447.64,7,2023-09-04
1048,Vestuário,115.4,6,2023-03-27
1049,Livros,382.27,8,2023-10-30
1050,Livros,33.8,8,2023-11-11
1051,Livros,410.74,8,2023-03-08
1052,Livros,304.76,5,2023-03-30
1053,Casa,478.49,3,2023-04-28
1054,Alimentos,480.42,4,2023-10-30
1055,Eletrônicos,34.9,7,2023-10-06
1056,Livros,88.66,8,2023-08-13
1057,Vestuário,247.26,9,2023-12-22
1058,Livros,440.95,5,2023-03-22
1059,Vestuário,409.08,4,2023-06-10
1060,Vestuário,482.54,7,2023-12-29
1061,Livros,312.86,4,2023-06-22
1062,Casa,135.72,3,2023-09-06
1063,Vestuário,22.3,4,2023-11-21
1064,Vestuário,119.23,8,2023-08-14
1065,Livros,340.88,8,2023-01-05
1066,Vestuário,463.87,6,2023-11-13
1067,Vestuário,167.24,8,2023-12-02
1068,Livros,439.1,4,2023-01-07
1069,Livros,203.5,3,2023-02-18
1070,Eletrônicos,161.05,7,2023-09-14
1071,Casa,259.33,6,2023-01-14
1072,Casa,226.71,6,2023-06-18
1073,Vestuário,457.76,2,2023-04-11
1074,Casa,239.45,2,2023-04-24
1075,Vestuário,145.89,5,2023-03-10
1076,Eletrônicos,422.86,3,2023-02-16
1077,Livros,499.39,3,2023-02-06
1078,Livros,327.6,9,2023-05-29
1079,Livros,132.73,9,2023-02-03
1080,Casa,127.02,1,2023-04-07
1081,Eletrônicos,38.28,6,2023-08-03
1082,Casa,47.87,2,2023-12-12
1083,Casa,458.34,5,2023-06-10
1084,Eletrônicos,57.28,2,2023-08-15
1085,Eletrônicos,247.33,6,2023-08-22
1086,Eletrônicos,352.08,9,2023-10-17
1087,Eletrônicos,426.67,7,2023-10-04
1088,Livros,93.92,1,2023-07-15
1089,Alimentos,224.51,6,2023-12-08
1090,Alimentos,133.23,2,2023-12-04
1091,Eletrônicos,135.35,2,2023-06-30
1092,Alimentos,158.88,3,2023-09-08
1093,Alimentos,297.69,8,2023-01-07
1094,Eletrônicos,18.12,7,2023-03-23
1095,Alimentos,210.3,4,2023-08-11
1096,Casa,101.55,3,2023-03-09
1097,Vestuário,483.89,1,2023-11-25
1098,Vestuário,295.54,4,2023-11-05
1099,Eletrônicos,435.37,8,2023-12-26
1100,Livros,105.89,1,2023-11-15
1101,Eletrônicos,406.91,2,2023-07-29
1102,Livros,213.24,2,2023-10-15
1103,Vestuário,97.07,9,2023-06-03
1104,Eletrônicos,383.01,1,2023-02-21
1105,Casa,383.39,6,2023-02-14
1106,Alimentos,497.99,4,2023-04-23
1107,Livros,392.66,9,2023-09-15
1108,Alimentos,81.18,6,2023-06-11
1109,Alimentos,168.05,9,2023-04-16
1110,Eletrônicos,231.35,2,2023-03-24
1111,Alimentos,72.06,2,2023-12-28
1112,Casa,396.14,6,2023-02-03
1113,Alimentos,268.08,2,2023-04-12
1114,Eletrônicos,472.78,4,2023-12-24
1115,Casa,298.76,4,2023-04-06
1116,Vestuário,266.22,5,2023-10-07
1117,Alimentos,45.0,7,2023-10-08
1118,Eletrônicos,83.18,1,2023-12-11
1119,Vestuário,426.27,5,2023-02-08
1120,Vestuário,495.43,7,2023-08-09
1121,Livros,213.44,3,2023-02-02
1122,Casa,406.94,3,2023-01-27
1123,Alimentos,317.52,8,2023-10-10
1124,Eletrônicos,479.94,4,2023-08-14
1125,Livros,126.69,2,2023-04-26
1126,Casa,276.97,6,2023-09-01
1127,Livros,210.31,5,2023-02-28
1128,Casa,275.44,7,2023-10-24
1129,Casa,141.74,2,2023-01-10
1130,Alimentos,253.9,5,2023-04-11
1131,Casa,316.15,5,2023-07-11
1132,Livros,49.8,3,2023-02-18
1133,Casa,374.06,8,2023-04-28
1134,Alimentos,356.2,7,2023-07-16
1135,Alimentos,441.42,9,2023-12-02
1136,Livros,218.67,6,2023-06-14
1137,Vestuário,40.22,5,2023-12-15
1138,Vestuário,236.12,5,2023-10-15
1139,Casa,77.43,6,2023-04-19
1140,Eletrônicos,327.25,1,2023-10-17
1141,Casa,33.09,7,2023-12-13
1142,Livros,193.26,2,2023-08-30
1143,Livros,50.59,3,2023-07-09
1144,Livros,11.65,5,2023-04-26
1145,Livros,480.67,8,2023-10-02
1146,Livros,498.1,9,2023-02-17
1147,Alimentos,282.2,9,2023-08-29
1148,Vestuário,127.09,1,2023-06-27
1149,Livros,456.44,2,2023-11-02
1150,Eletrônicos,462.29,5,2023-05-31
1151,Eletrônicos,428.71,3,2023-03-02
1152,Eletrônicos,276.74,6,2023-08-16
1153,Eletrônicos,46.6,3,2023-03-08
1154,Alimentos,53.34,3,2023-01-05
1155,Eletrônicos,449.34,5,2023-11-30
1156,Livros,439.16,7,2023-11-15
1157,Casa,222.85,7,2023-12-06
1158,Eletrônicos,170.8,8,2023-09-28
1159,Alimentos,325.62,2,2023-10-10
1160,Alimentos,405.42,5,2023-06-12
1161,Eletrônicos,368.53,2,2023-10-03
1162,Casa,311.65,6,2023-04-01
1163,Eletrônicos,123.44,5,2023-06-23
1164,Alimentos,138.63,1,2023-08-29
1165,Vestuário,364.79,8,2023-08-22
1166,Livros,403.28,7,2023-04-05
1167,Alimentos,66.91,1,2023-05-04
1168,Eletrônicos,101.78,1,2023-03-18
