produto_id,categoria,preco,quantidade,data_venda,receita
P0003,Alimentos,116.41,3,2024-05-24,349.23
P0005,Alimentos,116.11,1,2024-02-22,116.11
P0008,Alimentos,345.7,15,2024-01-26,5185.5
P0014,Alimentos,143.52,7,2024-10-18,1004.6400000000001
P0017,Alimentos,310.14,2,2024-05-26,620.28
P0023,Alimentos,370.95,4,2024-02-18,1483.8
P0024,Alimentos,247.34,12,2024-01-21,2968.08
P0029,Alimentos,109.06,3,2024-03-08,327.18
P0053,Alimentos,194.74,3,2024-08-20,584.22
P0054,Alimentos,190.09,1,2024-07-07,190.09
P0057,Alimentos,295.79,14,2024-10-02,4141.06
P0062,Alimentos,483.82,10,2024-07-04,4838.2
P0067,Alimentos,306.41,11,2024-11-26,3370.51
P0085,Alimentos,325.67,8,2024-05-22,2605.36
P0094,Alimentos,362.52,9,2024-08-16,3262.68
P0097,Alimentos,295.36,14,2024-12-26,4135.04
P0107,Alimentos,214.55,6,2024-05-25,1287.3000000000002
P0116,Alimentos,326.53,11,2024-11-02,3591.83
P0122,Alimentos,317.64,11,2024-06-12,3494.04
P0124,Alimentos,489.55,4,2024-05-12,1958.2
P0126,Alimentos,491.24,11,2024-09-04,5403.64
P0127,Alimentos,383.7,1,2024-07-09,383.7
P0128,Alimentos,119.14,2,2024-01-02,238.28
P0143,Alimentos,26.37,9,2024-07-17,237.33
P0144,Alimentos,151.44,9,2024-02-06,1362.96
P0145,Alimentos,308.67,6,2024-08-20,1852.02
P0153,Alimentos,89.95,14,2024-12-27,1259.3
P0154,Alimentos,154.17,5,2024-10-21,770.8499999999999
P0157,Alimentos,99.84,12,2024-06-06,1198.08
P0158,Alimentos,480.62,13,2024-10-11,6248.06
P0160,Alimentos,306.38,8,2024-08-20,2451.04
P0162,Alimentos,242.87,10,2024-11-27,2428.7
P0165,Alimentos,472.92,2,2024-12-09,945.84
P0166,Alimentos,286.56,8,2024-05-28,2292.48
P0185,Alimentos,289.66,7,2024-02-14,2027.6200000000001
P0196,Alimentos,153.74,6,2024-07-25,922.44
P0197,Alimentos,284.95,13,2024-02-11,3704.35
P0199,Alimentos,113.08,3,2024-05-15,339.24
P0201,Alimentos,103.66,10,2024-06-10,1036.6
P0203,Alimentos,363.13,12,2024-10-18,4357.5599999999995
P0204,Alimentos,255.07,12,2024-06-17,3060.84
P0207,Alimentos,66.92,11,2024-04-27,736.12
P0210,Alimentos,213.04,13,2024-04-03,2769.52
P0215,Alimentos,48.09,10,2024-06-07,480.90000000000003
P0216,Alimentos,103.25,14,2024-05-15,1445.5
P0221,Alimentos,41.11,13,2024-02-27,534.43
P0222,Alimentos,123.57,3,2024-03-11,370.71
P0223,Alimentos,219.11,9,2024-12-19,1971.9900000000002
P0224,Alimentos,105.51,11,2024-01-28,1160.6100000000001
P0231,Alimentos,394.32,8,2024-09-03,3154.56
P0232,Alimentos,98.6,13,2024-06-15,1281.8
P0233,Alimentos,103.56,11,2024-11-03,1139.16
P0236,Alimentos,285.8,4,2024-02-25,1143.2
P0238,Alimentos,302.36,2,2024-07-10,604.72
P0245,Alimentos,121.62,4,2024-11-18,486.48
P0246,Alimentos,491.68,14,2024-08-20,6883.52
P0261,Alimentos,261.41,2,2024-11-08,522.82
P0262,Alimentos,28.01,4,2024-09-16,112.04
P0264,Alimentos,338.77,6,2024-11-28,2032.62
P0271,Alimentos,52.84,9,2024-03-13,475.56000000000006
P0273,Alimentos,129.74,15,2024-01-11,1946.1000000000001
P0276,Alimentos,482.92,4,2024-04-29,1931.68
P0278,Alimentos,173.15,10,2024-02-17,1731.5
P0285,Alimentos,17.49,7,2024-02-16,122.42999999999999
P0296,Alimentos,203.72,12,2024-10-05,2444.64
P0300,Alimentos,440.35,6,2024-06-20,2642.1000000000004
P0302,Alimentos,17.78,12,2024-01-31,213.36
P0304,Alimentos,499.3,3,2024-05-10,1497.9
P0306,Alimentos,394.98,1,2024-07-25,394.98
P0311,Alimentos,236.0,13,2024-11-25,3068.0
P0312,Alimentos,241.36,7,2024-10-11,1689.52
P0314,Alimentos,256.55,9,2024-08-03,2308.9500000000003
P0315,Alimentos,378.81,2,2024-11-22,757.62
P0318,Alimentos,126.6,7,2024-09-03,886.1999999999999
P0319,Alimentos,240.05,12,2024-12-09,2880.6000000000004
P0322,Alimentos,379.38,1,2024-06-25,379.38
P0323,Alimentos,444.92,2,2024-09-26,889.84
P0333,Alimentos,163.36,6,2024-02-29,980.1600000000001
P0335,Alimentos,385.08,14,2024-06-09,5391.12
P0342,Alimentos,157.38,13,2024-04-10,2045.94
P0345,Alimentos,320.82,6,2024-04-19,1924.92
P0348,Alimentos,243.43,4,2024-11-11,973.72
P0351,Alimentos,293.27,13,2024-08-01,3812.5099999999998
P0352,Alimentos,207.29,3,2024-01-08,621.87
P0355,Alimentos,423.09,7,2024-03-27,2961.6299999999997
P0363,Alimentos,372.25,6,2024-10-05,2233.5
P0365,Alimentos,102.58,14,2024-02-08,1436.12
P0368,Alimentos,311.88,11,2024-01-29,3430.68
P0369,Alimentos,68.57,7,2024-02-13,479.98999999999995
P0371,Alimentos,83.3,7,2024-09-16,583.1
P0373,Alimentos,257.95,8,2024-09-14,2063.6
P0377,Alimentos,433.41,13,2024-08-31,5634.33
P0380,Alimentos,160.99,15,2024-10-16,2414.8500000000004
P0381,Alimentos,94.22,1,2024-12-07,94.22
P0383,Alimentos,109.56,11,2024-11-04,1205.16
P0386,Alimentos,280.22,14,2024-12-24,3923.0800000000004
P0387,Alimentos,130.62,1,2024-07-25,130.62
P0391,Alimentos,408.06,7,2024-10-20,2856.42
P0393,Alimentos,429.48,15,2024-06-20,6442.200000000001
P0397,Alimentos,134.84,5,2024-01-04,674.2
P0402,Alimentos,362.67,11,2024-01-25,3989.3700000000003
P0404,Alimentos,439.58,14,2024-05-17,6154.12
P0405,Alimentos,405.48,3,2024-09-02,1216.44
P0407,Alimentos,147.94,4,2024-09-24,591.76
P0410,Alimentos,289.05,2,2024-12-19,578.1
P0414,Alimentos,12.43,13,2024-09-26,161.59
P0420,Alimentos,102.15,5,2024-08-07,510.75
P0424,Alimentos,305.13,14,2024-07-11,4271.82
P0430,Alimentos,417.3,5,2024-04-06,2086.5
P0432,Alimentos,86.56,9,2024-06-04,779.04
P0435,Alimentos,355.95,14,2024-04-20,4983.3
P0436,Alimentos,182.28,10,2024-06-09,1822.8
P0437,Alimentos,220.87,15,2024-02-05,3313.05
P0438,Alimentos,164.31,12,2024-04-17,1971.72
P0446,Alimentos,435.44,8,2024-08-05,3483.52
P0447,Alimentos,143.2,9,2024-12-06,1288.8
P0453,Alimentos,120.0,7,2024-12-27,840.0
P0459,Alimentos,15.56,13,2024-10-02,202.28
P0463,Alimentos,246.64,4,2024-09-06,986.56
P0464,Alimentos,278.57,7,2024-11-21,1949.99
P0468,Alimentos,261.02,5,2024-08-11,1305.1
P0471,Alimentos,344.62,12,2024-12-24,4135.4400000000005
P0472,Alimentos,194.07,10,2024-11-07,1940.6999999999998
