produto_id,categoria,preco,quantidade,data_venda,receita
P0003,Casa,406.73,15,2024-07-13,6100.950000000001
P0006,Casa,382.76,14,2024-02-24,5358.639999999999
P0008,Casa,20.88,3,2024-06-11,62.64
P0013,Casa,269.42,6,2024-04-10,1616.52
P0016,Casa,59.91,2,2024-08-03,119.82
P0017,Casa,255.52,9,2024-07-01,2299.6800000000003
P0025,Casa,203.06,6,2024-10-09,1218.3600000000001
P0028,Casa,404.54,9,2024-04-13,3640.86
P0031,Casa,11.47,14,2024-09-16,160.58
P0034,Casa,14.71,15,2024-05-17,220.65
P0051,Casa,268.78,10,2024-07-20,2687.7999999999997
P0054,Casa,301.77,11,2024-11-24,3319.47
P0058,Casa,110.29,5,2024-02-07,551.45
P0059,Casa,216.2,6,2024-05-02,1297.1999999999998
P0062,Casa,243.32,8,2024-11-08,1946.56
P0063,Casa,427.62,7,2024-11-13,2993.34
P0068,Casa,270.72,8,2024-10-01,2165.76
P0069,Casa,430.3,4,2024-05-16,1721.2
P0071,Casa,32.56,5,2024-06-11,162.8
P0073,Casa,18.56,5,2024-11-14,92.8
P0074,Casa,400.69,12,2024-01-12,4808.28
P0075,Casa,327.5,7,2024-04-09,2292.5
P0084,Casa,222.73,2,2024-08-27,445.46
P0088,Casa,280.49,11,2024-06-20,3085.3900000000003
P0090,Casa,235.85,7,2024-09-24,1650.95
P0096,Casa,345.18,14,2024-05-12,4832.52
P0101,Casa,27.9,5,2024-07-23,139.5
P0103,Casa,207.15,11,2024-08-16,2278.65
P0104,Casa,293.18,15,2024-06-12,4397.7
P0105,Casa,371.07,10,2024-03-02,3710.7
P0112,Casa,27.35,1,2024-02-26,27.35
P0113,Casa,28.14,13,2024-02-24,365.82
P0118,Casa,29.39,9,2024-02-20,264.51
P0124,Casa,358.59,2,2024-03-20,717.18
P0130,Casa,374.78,10,2024-08-03,3747.7999999999997
P0131,Casa,203.9,11,2024-08-13,2242.9
P0134,Casa,126.99,9,2024-03-23,1142.9099999999999
