produto_id,categoria,preco,quantidade,data_venda,receita
P0002,Vestuario,191.4,8,2024-08-09,1531.2
P0005,Vestuario,420.04,7,2024-02-14,2940.28
P0012,Vestuario,14.81,12,2024-04-23,177.72
P0022,Vestuario,284.3,1,2024-06-14,284.3
P0023,Vestuario,364.27,12,2024-06-05,4371.24
P0032,Vestuario,128.61,1,2024-08-01,128.61
P0033,Vestuario,78.9,5,2024-06-28,394.5
P0036,Vestuario,369.5,9,2024-10-24,3325.5
P0039,Vestuario,311.07,15,2024-05-13,4666.05
P0041,Vestuario,381.67,2,2024-08-18,763.34
P0045,Vestuario,424.57,2,2024-02-05,849.14
P0049,Vestuario,269.54,5,2024-08-15,1347.7
P0052,Vestuario,26.99,4,2024-07-08,107.96
P0070,Vestuario,126.31,6,2024-02-24,757.86
P0072,Vestuario,418.95,13,2024-03-24,5446.349999999999
P0079,Vestuario,451.63,6,2024-04-12,2709.7799999999997
P0083,Vestuario,187.94,7,2024-11-15,1315.58
P0087,Vestuario,378.43,7,2024-10-29,2649.01
P0089,Vestuario,88.9,12,2024-09-16,1066.8000000000002
P0092,Vestuario,159.68,9,2024-08-04,1437.1200000000001
P0093,Vestuario,421.2,6,2024-07-21,2527.2
P0114,Vestuario,190.28,4,2024-09-13,761.12
P0117,Vestuario,40.14,3,2024-10-25,120.42
P0120,Vestuario,326.58,2,2024-08-18,653.16
P0126,Vestuario,89.64,4,2024-06-17,358.56
P0127,Vestuario,95.96,1,2024-07-12,95.96
P0129,Vestuario,471.51,2,2024-07-26,943.02
P0135,Vestuario,159.07,13,2024-05-21,2067.91
P0143,Vestuario,23.56,13,2024-04-30,306.28
P0145,Vestuario,95.66,14,2024-06-13,1339.24
P0166,Vestuario,419.82,4,2024-05-19,1679.28
P0181,Vestuario,365.54,2,2024-04-12,731.08
P0182,Vestuario,412.12,12,2024-10-15,4945.4400000000005
P0185,Vestuario,472.23,1,2024-11-22,472.23
P0196,Vestuario,475.77,15,2024-07-01,7136.549999999999
P0198,Vestuario,280.41,12,2024-08-31,3364.92
P0200,Vestuario,184.95,4,2024-10-01,739.8
P0203,Vestuario,428.79,3,2024-05-30,1286.3700000000001
P0204,Vestuario,279.59,4,2024-01-08,1118.36
P0207,Vestuario,415.47,13,2024-01-21,5401.110000000001
P0210,Vestuario,416.56,15,2024-01-26,6248.4
P0215,Vestuario,129.37,8,2024-03-02,1034.96
P0216,Vestuario,176.89,5,2024-12-23,884.4499999999999
P0231,Vestuario,304.12,12,2024-05-17,3649.44
P0233,Vestuario,214.72,12,2024-12-12,2576.64
P0241,Vestuario,247.96,10,2024-08-11,2479.6
P0244,Vestuario,106.89,3,2024-10-08,320.67
P0252,Vestuario,51.29,2,2024-09-05,102.58
P0253,Vestuario,59.97,1,2024-03-07,59.97
P0254,Vestuario,111.81,10,2024-10-25,1118.1
P0256,Vestuario,445.83,7,2024-09-20,3120.81
P0261,Vestuario,48.28,14,2024-01-15,675.9200000000001
P0266,Vestuario,365.91,11,2024-07-04,4025.01
P0269,Vestuario,314.99,6,2024-07-15,1889.94
P0273,Vestuario,67.89,7,2024-04-19,475.23
P0282,Vestuario,367.35,10,2024-01-17,3673.5
P0283,Vestuario,318.57,13,2024-12-05,4141.41
P0298,Vestuario,465.05,5,2024-03-03,2325.25
P0299,Vestuario,253.11,1,2024-03-11,253.11
P0302,Vestuario,462.34,4,2024-09-09,1849.36
P0303,Vestuario,118.04,12,2024-07-31,1416.48
P0311,Vestuario,87.82,1,2024-05-18,87.82
P0318,Vestuario,292.08,7,2024-09-06,2044.56
