produto_id,categoria,preco,quantidade,data_venda
P0000,Eletronicos,181.15,10,2024-06-29
P0001,Eletronicos,427.08,6,2024-11-04
P0002,Casa,190.58,2,2024-12-22
P0003,Alimentos,116.41,3,2024-05-24
P0004,Eletronicos,139.73,4,2024-10-24
P0005,Alimentos,116.11,1,2024-02-22
P0006,Casa,146.2,6,2024-03-17
P0007,Eletronicos,235.46,10,2024-10-03
P0008,Alimentos,345.7,15,2024-01-26
P0009,Casa,260.4,5,2024-08-06
P0010,Vestuario,181.53,3,2024-02-09
P0011,Casa,348.18,2,2024-11-29
P0012,Eletronicos,371.93,14,2024-11-30
P0013,Casa,6.81,5,2024-12-19
P0014,Alimentos,143.52,7,2024-10-18
P0015,Casa,348.96,3,2024-04-25
P0016,Vestuario,150.95,15,2024-11-14
P0017,Alimentos,310.14,2,2024-05-26
P0018,Casa,247.11,12,2024-09-04
P0019,Vestuario,85.54,7,2024-10-28
P0020,Eletronicos,374.51,12,2024-10-20
P0021,Vestuario,323.77,4,2024-06-24
P0022,Eletronicos,481.26,3,2024-09-15
P0023,Alimentos,370.95,4,2024-02-18
P0024,Alimentos,247.34,12,2024-01-21
P0025,Vestuario,189.97,9,2024-10-01
P0026,Casa,436.73,2,2024-11-15
P0027,Casa,186.99,5,2024-10-03
P0028,Eletronicos,310.45,3,2024-10-01
P0029,Alimentos,109.06,3,2024-03-08
P0030,Eletronicos,69.64,14,2024-07-16
P0031,Eletronicos,39.07,14,2024-05-21
P0032,Vestuario,62.76,7,2024-08-17
P0033,Eletronicos,148.85,5,2024-06-27
P0034,Eletronicos,245.71,1,2024-05-11
P0035,Eletronicos,343.31,6,2024-07-10
P0036,Eletronicos,199.36,10,2024-05-06
P0037,Eletronicos,271.52,6,2024-12-12
P0038,Eletronicos,13.22,4,2024-12-29
P0039,Vestuario,415.96,14,2024-10-15
P0040,Casa,119.99,6,2024-10-08
P0041,Eletronicos,33.82,10,2024-09-10
P0042,Eletronicos,16.5,2,2024-08-23
P0043,Casa,159.73,13,2024-07-14
P0044,Vestuario,444.01,9,2024-06-27
P0045,Vestuario,108.72,6,2024-07-03
P0046,Casa,112.42,8,2024-04-18
P0047,Vestuario,379.71,1,2024-12-30
P0048,Casa,297.27,10,2024-12-18
P0049,Vestuario,119.91,7,2024-10-05
P0050,Eletronicos,344.28,14,2024-03-01
P0051,Vestuario,277.72,7,2024-07-13
P0052,Casa,90.46,6,2024-08-29
P0053,Alimentos,194.74,3,2024-08-20
P0054,Alimentos,190.09,1,2024-07-07
P0055,Eletronicos,36.89,12,2024-06-18
P0056,Eletronicos,369.47,4,2024-12-23
P0057,Alimentos,295.79,14,2024-10-02
P0058,Eletronicos,406.63,11,2024-12-26
P0059,Eletronicos,80.08,3,2024-03-01
P0060,Vestuario,40.18,9,2024-11-02
P0061,Casa,331.24,1,2024-02-24
P0062,Alimentos,483.82,10,2024-07-04
P0063,Vestuario,383.78,7,2024-01-08
P0064,Casa,411.26,11,2024-09-12
P0065,Vestuario,225.23,11,2024-02-25
P0066,Casa,199.09,3,2024-12-19
P0067,Alimentos,306.41,11,2024-11-26
P0068,Vestuario,37.12,9,2024-11-30
P0069,Eletronicos,472.89,2,2024-07-09
P0070,Casa,51.27,9,2024-05-31
P0071,Eletronicos,32.64,9,2024-01-09
P0072,Vestuario,43.71,5,2024-11-29
P0073,Casa,403.24,12,2024-05-23
P0074,Eletronicos,462.84,7,2024-11-22
P0075,Vestuario,491.83,8,2024-09-27
P0076,Vestuario,138.51,10,2024-02-15
P0077,Eletronicos,196.38,12,2024-04-03
P0078,Casa,71.96,6,2024-07-25
P0079,Casa,147.29,12,2024-11-28
P0080,Vestuario,487.98,8,2024-01-21
P0081,Casa,202.64,15,2024-03-24
P0082,Casa,224.33,3,2024-05-20
P0083,Eletronicos,273.79,1,2024-07-22
P0084,Eletronicos,316.05,15,2024-11-28
P0085,Alimentos,325.67,8,2024-05-22
P0086,Eletronicos,104.21,13,2024-07-06
P0087,Vestuario,319.1,8,2024-07-24
P0088,Eletronicos,452.92,7,2024-08-07
P0089,Eletronicos,203.21,4,2024-10-16
P0090,Eletronicos,342.92,9,2024-08-24
P0091,Eletronicos,23.81,5,2024-03-20
P0092,Vestuario,485.07,5,2024-08-27
P0093,Casa,394.75,9,2024-06-03
P0094,Alimentos,362.52,9,2024-08-16
P0095,Vestuario,422.96,5,2024-03-06
P0096,Casa,108.69,13,2024-03-26
P0097,Alimentos,295.36,14,2024-12-26
P0098,Casa,283.7,9,2024-08-07
P0099,Casa,187.13,3,2024-12-11
P0100,Casa,383.55,12,2024-09-23
P0101,Casa,156.17,6,2024-01-09
P0102,Casa,346.52,3,2024-02-05
P0103,Casa,331.08,6,2024-01-20
P0104,Casa,354.52,8,2024-12-03
P0105,Vestuario,29.42,2,2024-12-29
P0106,Eletronicos,340.57,13,2024-01-19
P0107,Alimentos,214.55,6,2024-05-25
P0108,Vestuario,411.11,11,2024-10-28
P0109,Casa,371.1,12,2024-07-04
P0110,Casa,474.36,4,2024-03-13
P0111,Vestuario,357.39,7,2024-02-16
P0112,Eletronicos,356.89,1,2024-03-18
P0113,Casa,464.18,11,2024-10-09
P0114,Vestuario,277.18,3,2024-01-01
P0115,Casa,273.12,9,2024-05-30
P0116,Alimentos,326.53,11,2024-11-02
P0117,Eletronicos,400.77,15,2024-10-23
P0118,Vestuario,131.81,11,2024-01-16
P0119,Eletronicos,147.91,5,2024-05-15
P0120,Casa,427.6,10,2024-03-17
P0121,Casa,302.05,1,2024-10-26
P0122,Alimentos,317.64,11,2024-06-12
P0123,Casa,211.55,11,2024-09-28
P0124,Alimentos,489.55,4,2024-05-12
P0125,Eletronicos,32.92,7,2024-09-09
P0126,Alimentos,491.24,11,2024-09-04
P0127,Alimentos,383.7,1,2024-07-09
P0128,Alimentos,119.14,2,2024-01-02
P0129,Vestuario,137.45,15,2024-12-23
P0130,Casa,320.11,5,2024-04-19
P0131,Vestuario,459.76,8,2024-10-10
P0132,Casa,103.0,3,2024-08-04
P0133,Eletronicos,167.17,8,2024-07-04
P0134,Vestuario,417.7,10,2024-03-11
P0135,Eletronicos,316.12,11,2024-02-01
P0136,Casa,11.82,15,2024-05-21
P0137,Vestuario,88.43,8,2024-03-21
P0138,Eletronicos,169.96,13,2024-05-17
P0139,Casa,417.39,9,2024-04-18
P0140,Casa,464.08,10,2024-04-09
P0141,Vestuario,417.61,9,2024-05-15
P0142,Casa,400.58,9,2024-11-14
P0143,Alimentos,26.37,9,2024-07-17
P0144,Alimentos,151.44,9,2024-02-06
P0145,Alimentos,308.67,6,2024-08-20
P0146,Casa,220.54,8,2024-01-30
P0147,Eletronicos,322.53,15,2024-09-19
P0148,Vestuario,284.04,6,2024-10-16
P0149,Casa,206.38,13,2024-02-29
P0150,Vestuario,491.14,8,2024-05-15
P0151,Casa,370.38,10,2024-04-17
P0152,Casa,200.01,8,2024-05-18
P0153,Alimentos,89.95,14,2024-12-27
P0154,Alimentos,154.17,5,2024-10-21
P0155,Eletronicos,5.48,7,2024-03-17
P0156,Vestuario,300.09,5,2024-01-12
P0157,Alimentos,99.84,12,2024-06-06
P0158,Alimentos,480.62,13,2024-10-11
P0159,Eletronicos,167.6,1,2024-07-20
P0160,Alimentos,306.38,8,2024-08-20
P0161,Casa,276.22,13,2024-06-18
P0162,Alimentos,242.87,10,2024-11-27
P0163,Eletronicos,221.54,12,2024-06-17
P0164,Casa,299.67,8,2024-07-02
P0165,Alimentos,472.92,2,2024-12-09
P0166,Alimentos,286.56,8,2024-05-28
P0167,Casa,35.64,12,2024-11-26
P0168,Vestuario,426.56,10,2024-03-02
P0169,Vestuario,390.65,5,2024-11-30
P0170,Vestuario,204.43,12,2024-01-26
P0171,Vestuario,32.45,3,2024-03-21
P0172,Eletronicos,444.65,9,2024-03-12
P0173,Casa,424.97,3,2024-10-08
P0174,Eletronicos,479.27,13,2024-06-03
P0175,Vestuario,284.0,8,2024-11-27
P0176,Vestuario,132.36,10,2024-06-14
P0177,Casa,296.31,8,2024-10-28
P0178,Casa,233.63,15,2024-09-10
P0179,Casa,43.53,8,2024-06-11
P0180,Vestuario,18.85,6,2024-06-24
P0181,Eletronicos,88.69,14,2024-07-14
P0182,Eletronicos,484.9,14,2024-10-15
P0183,Vestuario,336.39,6,2024-01-14
P0184,Eletronicos,122.7,12,2024-05-05
P0185,Alimentos,289.66,7,2024-02-14
P0186,Vestuario,361.26,6,2024-05-10
P0187,Eletronicos,97.11,6,2024-07-04
P0188,Eletronicos,92.46,8,2024-08-07
P0189,Eletronicos,440.12,13,2024-09-27
P0190,Vestuario,93.28,1,2024-07-14
P0191,Casa,417.84,14,2024-09-11
P0192,Casa,85.3,15,2024-02-26
P0193,Vestuario,92.55,1,2024-12-30
P0194,Casa,498.45,6,2024-01-10
P0195,Casa,198.97,4,2024-02-27
P0196,Alimentos,153.74,6,2024-07-25
P0197,Alimentos,284.95,13,2024-02-11
P0198,Eletronicos,413.08,4,2024-04-18
P0199,Alimentos,113.08,3,2024-05-15
P0200,Casa,239.55,8,2024-02-02
P0201,Alimentos,103.66,10,2024-06-10
P0202,Vestuario,488.42,13,2024-05-12
P0203,Alimentos,363.13,12,2024-10-18
P0204,Alimentos,255.07,12,2024-06-17
P0205,Eletronicos,118.54,1,2024-01-10
P0206,Vestuario,404.09,8,2024-07-07
P0207,Alimentos,66.92,11,2024-04-27
P0208,Eletronicos,323.12,15,2024-07-18
P0209,Vestuario,319.08,9,2024-09-22
P0210,Alimentos,213.04,13,2024-04-03
P0211,Casa,134.2,9,2024-08-11
P0212,Casa,302.04,2,2024-07-05
P0213,Vestuario,455.05,13,2024-11-01
P0214,Casa,64.6,10,2024-11-11
P0215,Alimentos,48.09,10,2024-06-07
P0216,Alimentos,103.25,14,2024-05-15
P0217,Casa,183.99,2,2024-03-14
P0218,Vestuario,211.41,2,2024-07-11
P0219,Casa,215.65,12,2024-01-09
P0220,Casa,220.67,2,2024-04-06
P0221,Alimentos,41.11,13,2024-02-27
P0222,Alimentos,123.57,3,2024-03-11
P0223,Alimentos,219.11,9,2024-12-19
P0224,Alimentos,105.51,11,2024-01-28
P0225,Eletronicos,68.07,4,2024-02-08
P0226,Casa,282.35,4,2024-12-06
P0227,Casa,403.66,14,2024-05-15
P0228,Casa,459.62,11,2024-04-20
P0229,Vestuario,53.4,12,2024-08-06
P0230,Casa,408.52,10,2024-01-12
P0231,Alimentos,394.32,8,2024-09-03
P0232,Alimentos,98.6,13,2024-06-15
P0233,Alimentos,103.56,11,2024-11-03
P0234,Vestuario,454.58,10,2024-01-16
P0235,Casa,275.28,10,2024-02-13
P0236,Alimentos,285.8,4,2024-02-25
P0237,Casa,103.3,15,2024-12-26
P0238,Alimentos,302.36,2,2024-07-10
P0239,Casa,193.27,11,2024-09-09
P0240,Eletronicos,204.43,10,2024-07-13
P0241,Eletronicos,252.01,15,2024-02-29
P0242,Vestuario,259.45,14,2024-08-23
P0243,Eletronicos,81.77,3,2024-07-02
P0244,Casa,229.76,12,2024-03-10
P0245,Alimentos,121.62,4,2024-11-18
P0246,Alimentos,491.68,14,2024-08-20
P0247,Vestuario,276.19,3,2024-11-01
P0248,Casa,276.15,14,2024-05-12
P0249,Vestuario,360.28,6,2024-06-01
P0250,Eletronicos,213.24,13,2024-04-15
P0251,Vestuario,226.63,1,2024-07-20
P0252,Vestuario,364.44,13,2024-05-12
P0253,Vestuario,383.68,8,2024-09-26
P0254,Eletronicos,366.26,2,2024-07-19
P0255,Casa,45.08,15,2024-08-30
P0256,Vestuario,294.49,12,2024-12-05
P0257,Eletronicos,335.52,4,2024-05-11
P0258,Vestuario,273.05,7,2024-12-17
P0259,Eletronicos,149.48,1,2024-05-16
P0260,Eletronicos,337.72,15,2024-02-17
P0261,Alimentos,261.41,2,2024-11-08
P0262,Alimentos,28.01,4,2024-09-16
P0263,Eletronicos,68.91,3,2024-07-10
P0264,Alimentos,338.77,6,2024-11-28
P0265,Casa,188.58,1,2024-05-21
P0266,Casa,369.52,11,2024-05-19
P0267,Vestuario,33.33,1,2024-07-11
P0268,Eletronicos,444.61,6,2024-10-04
P0269,Casa,353.85,1,2024-01-15
P0270,Casa,352.09,11,2024-12-02
P0271,Alimentos,52.84,9,2024-03-13
P0272,Casa,69.13,9,2024-10-24
P0273,Alimentos,129.74,15,2024-01-11
P0274,Casa,256.19,1,2024-10-25
P0275,Casa,419.03,8,2024-12-21
P0276,Alimentos,482.92,4,2024-04-29
P0277,Casa,405.43,2,2024-02-22
P0278,Alimentos,173.15,10,2024-02-17
P0279,Eletronicos,21.39,1,2024-11-03
P0280,Casa,10.44,3,2024-07-11
P0281,Casa,455.16,9,2024-06-29
P0282,Vestuario,18.53,14,2024-02-04
P0283,Casa,375.33,7,2024-01-12
P0284,Vestuario,367.0,1,2024-09-18
P0285,Alimentos,17.49,7,2024-02-16
