produto_id,categoria,preco,quantidade,data_venda
0,Livros,179.44,9,2024-09-25
1,Casa,105.89,15,2024-11-28
2,Alimentos,90.32,18,2024-07-27
3,Casa,190.96,8,2024-12-30
4,Casa,193.59,11,2024-04-05
5,Roupas,7.24,5,2024-04-02
6,Alimentos,185.76,15,2024-02-14
7,Alimentos,327.23,15,2024-03-02
8,Alimentos,139.59,7,2024-01-30
9,Casa,40.73,18,2024-09-26
10,Livros,48.0,12,2024-01-10
11,Alimentos,28.8,12,2024-01-06
12,Casa,6.52,4,2024-01-19
13,Roupas,7.14,11,2024-01-12
14,Livros,90.95,6,2024-07-10
15,Roupas,84.2,10,2024-04-12
16,Livros,32.27,15,2024-09-06
17,Casa,98.73,1,2024-08-31
18,Eletronicos,205.74,17,2024-12-03
19,Livros,155.65,3,2024-07-13
20,Roupas,289.59,11,2024-09-21
21,Casa,405.38,18,2024-05-13
22,Livros,84.04,10,2024-12-14
23,Eletronicos,9.01,9,2024-06-25
24,Eletronicos,253.69,7,2024-12-20
25,Alimentos,93.3,11,2024-04-08
26,Alimentos,227.79,8,2024-01-30
27,Roupas,258.96,2,2024-10-17
28,Livros,66.57,5,2024-03-03
29,Livros,106.32,9,2024-01-28
30,Alimentos,50.57,1,2024-05-25
31,Livros,1.87,17,2024-10-14
32,Livros,29.53,10,2024-03-09
33,Eletronicos,214.43,8,2024-09-08
34,Alimentos,278.83,18,2024-06-10
35,Casa,154.4,10,2024-04-19
36,Alimentos,340.01,9,2024-12-18
37,Casa,54.02,4,2024-05-11
38,Eletronicos,396.64,2,2024-09-27
39,Roupas,66.29,19,2024-07-06
40,Livros,116.33,10,2024-01-20
41,Eletronicos,139.08,17,2024-10-02
42,Livros,39.15,3,2024-06-25
43,Roupas,93.36,19,2024-04-08
44,Roupas,92.65,19,2024-09-03
45,Eletronicos,13.53,19,2024-11-19
46,Roupas,7.86,19,2024-01-18
47,Casa,12.85,15,2024-10-15
48,Roupas,317.24,18,2024-05-04
49,Livros,276.24,17,2024-11-15
50,Livros,145.23,10,2024-06-01
51,Livros,118.68,14,2024-03-09
52,Livros,196.38,19,2024-05-25
53,Casa,280.64,18,2024-02-14
54,Alimentos,154.32,11,2024-01-20
55,Eletronicos,30.71,11,2024-10-17
56,Livros,104.63,12,2024-09-03
57,Roupas,112.44,8,2024-12-12
58,Livros,210.53,16,2024-07-21
59,Roupas,11.38,8,2024-01-09
60,Roupas,13.52,14,2024-06-28
61,Livros,19.73,18,2024-06-04
62,Casa,207.09,4,2024-01-19
63,Roupas,130.74,17,2024-04-12
64,Roupas,5.25,13,2024-09-02
65,Livros,186.39,5,2024-03-25
66,Roupas,10.26,3,2024-11-14
67,Roupas,44.31,9,2024-12-16
68,Livros,301.04,18,2024-08-21
69,Livros,197.95,19,2024-05-14
70,Eletronicos,472.48,19,2024-02-06
71,Casa,93.03,16,2024-12-10
72,Casa,34.61,1,2024-04-01
73,Roupas,65.84,5,2024-10-18
74,Casa,143.92,15,2024-01-17
75,Roupas,255.47,12,2024-03-30
76,Eletronicos,173.95,1,2024-12-13
77,Livros,74.27,14,2024-06-13
78,Livros,27.5,18,2024-09-09
79,Livros,96.99,18,2024-10-31
80,Casa,229.75,6,2024-03-21
81,Eletronicos,270.4,1,2024-07-02
82,Casa,65.32,17,2024-10-16
83,Casa,77.89,18,2024-09-05
84,Eletronicos,82.76,15,2024-08-02
85,Eletronicos,34.47,12,2024-06-06
86,Eletronicos,68.56,13,2024-06-27
87,Eletronicos,27.31,2,2024-01-20
88,Livros,155.74,4,2024-05-26
89,Alimentos,16.27,3,2024-03-08
90,Alimentos,58.35,19,2024-03-17
91,Eletronicos,212.83,8,2024-04-11
92,Alimentos,3.58,12,2024-05-19
93,Alimentos,64.82,12,2024-03-13
94,Eletronicos,212.2,10,2024-07-25
95,Alimentos,244.1,1,2024-07-31
96,Casa,133.26,5,2024-03-19
97,Roupas,1.87,11,2024-04-22
98,Roupas,198.7,9,2024-09-09
99,Eletronicos,239.7,14,2024-05-12
100,Livros,129.34,3,2024-07-15
101,Eletronicos,39.79,5,2024-01-25
102,Livros,56.21,9,2024-04-10
103,Roupas,42.25,18,2024-09-01
104,Eletronicos,82.38,6,2024-01-31
105,Casa,148.85,7,2024-10-16
106,Alimentos,145.54,16,2024-09-12
107,Livros,215.26,8,2024-07-24
108,Alimentos,27.64,10,2024-03-08
109,Alimentos,61.94,5,2024-08-02
110,Eletronicos,25.62,11,2024-05-01
111,Alimentos,187.49,13,2024-02-15
112,Casa,13.64,2,2024-03-09
113,Alimentos,178.88,14,2024-01-27
114,Eletronicos,32.95,9,2024-06-19
115,Casa,236.95,10,2024-09-01
116,Roupas,150.23,10,2024-10-27
117,Alimentos,410.52,10,2024-09-30
118,Eletronicos,15.37,19,2024-10-14
119,Roupas,107.86,11,2024-09-05
120,Roupas,74.31,11,2024-01-02
121,Livros,202.36,3,2024-01-20
122,Casa,50.16,19,2024-10-20
123,Alimentos,93.93,1,2024-09-13
124,Eletronicos,0.49,12,2024-09-05
125,Livros,113.02,15,2024-06-01
126,Casa,15.4,14,2024-05-16
127,Livros,130.14,3,2024-08-09
128,Casa,338.17,13,2024-07-29
129,Casa,27.97,18,2024-07-07
130,Alimentos,31.1,16,2024-08-19
131,Casa,208.79,6,2024-05-15
132,Livros,79.62,10,2024-01-16
133,Casa,254.8,17,2024-04-23
134,Alimentos,210.51,17,2024-09-20
135,Alimentos,307.28,8,2024-10-05
136,Livros,163.52,4,2024-03-13
137,Roupas,124.44,15,2024-08-11
138,Roupas,446.94,1,2024-02-03
139,Casa,424.95,7,2024-09-01
140,Eletronicos,15.38,10,2024-08-25
141,Casa,121.08,7,2024-01-18
142,Livros,41.82,1,2024-12-30
143,Livros,65.85,17,2024-02-13
144,Livros,239.27,12,2024-05-22
145,Livros,247.55,17,2024-01-15
146,Livros,1.96,15,2024-04-02
147,Alimentos,83.01,16,2024-10-05
148,Roupas,10.07,14,2024-08-02
149,Livros,241.42,3,2024-09-05
150,Eletronicos,87.22,19,2024-03-11
151,Eletronicos,312.14,12,2024-04-18
152,Eletronicos,68.14,19,2024-10-14
153,Eletronicos,148.0,18,2024-06-08
154,Alimentos,55.03,14,2024-10-15
155,Eletronicos,23.07,9,2024-06-19
156,Livros,14.16,3,2024-01-13
157,Casa,20.72,12,2024-08-07
158,Eletronicos,21.02,17,2024-07-03
159,Alimentos,77.63,5,2024-11-18
160,Alimentos,299.81,8,2024-07-27
161,Eletronicos,19.0,19,2024-10-14
162,Casa,13.69,4,2024-11-24
163,Eletronicos,103.0,15,2024-12-26
164,Alimentos,401.31,19,2024-04-15
165,Roupas,35.42,15,2024-07-30
166,Livros,288.62,14,2024-11-20
167,Alimentos,220.94,16,2024-08-19
168,Eletronicos,28.52,10,2024-07-31
169,Livros,13.35,14,2024-11-20
170,Eletronicos,23.53,11,2024-07-14
171,Eletronicos,34.15,2,2024-09-05
172,Roupas,14.55,19,2024-11-12
173,Livros,6.48,3,2024-09-20
174,Livros,222.85,4,2024-08-04
175,Roupas,193.38,11,2024-09-19
176,Alimentos,44.07,13,2024-06-18
177,Eletronicos,5.4,18,2024-06-04
178,Casa,87.73,18,2024-03-10
179,Eletronicos,144.29,19,2024-08-21
180,Eletronicos,72.75,12,2024-02-23
181,Alimentos,184.74,1,2024-06-18
182,Eletronicos,37.04,6,2024-02-05
183,Roupas,418.29,3,2024-11-17
184,Roupas,61.2,17,2024-09-15
185,Livros,9.87,3,2024-09-07
186,Casa,220.29,1,2024-01-13
187,Eletronicos,10.24,3,2024-06-07
188,Eletronicos,332.13,4,2024-01-29
189,Alimentos,164.93,6,2024-02-26
190,Roupas,3.87,7,2024-06-09
191,Casa,34.75,8,2024-09-22
192,Livros,70.19,13,2024-08-17
193,Roupas,92.6,4,2024-11-14
194,Livros,11.17,6,2024-11-24
195,Alimentos,157.23,11,2024-07-11
196,Alimentos,278.89,1,2024-04-17
197,Eletronicos,18.73,8,2024-12-22
198,Casa,63.45,2,2024-12-17
199,Livros,367.21,8,2024-12-18
200,Roupas,129.6,9,2024-09-14
201,Alimentos,49.46,4,2024-04-19
202,Eletronicos,6.18,17,2024-05-09
203,Eletronicos,2.71,7,2024-05-02
204,Livros,216.1,10,2024-04-25
205,Alimentos,118.6,5,2024-08-17
206,Casa,199.64,10,2024-10-19
207,Alimentos,326.46,12,2024-08-20
208,Livros,81.47,6,2024-11-12
209,Livros,189.7,1,2024-08-21
210,Alimentos,325.49,3,2024-10-22
211,Livros,24.39,7,2024-07-09
212,Alimentos,12.05,11,2024-01-25
213,Roupas,98.25,12,2024-06-14
214,Alimentos,141.49,9,2024-10-19
215,Alimentos,42.81,1,2024-07-28
216,Livros,15.43,4,2024-01-27
217,Livros,290.92,2,2024-12-05
